CM033Q01S CM474Q01S CM155Q01S CM155Q04S CM411Q01S CM411Q02S CM803Q01S CM442Q02S DM462Q01C CM034Q01S CM305Q01S CM496Q01S CM496Q02S CM423Q01S DM406Q01C DM406Q02C CM603Q01S CM571Q01S CM564Q01S CM564Q02S ST006Q04TA ST008Q04TA V1 b1 b2 b3 b4 b5
Fullcredit Nocredit Fullcredit Nocredit Nocredit Nocredit Nocredit Nocredit 01-Nocredit Nocredit Nocredit Nocredit Nocredit Nocredit 0-Nocredit 0-Nocredit Nocredit Nocredit Nocredit Nocredit NA NA 1 1 1 2 2 2
Fullcredit Fullcredit Fullcredit Fullcredit Fullcredit Fullcredit Nocredit Fullcredit 01-Nocredit Fullcredit Fullcredit Fullcredit Fullcredit Fullcredit 0-Nocredit 0-Nocredit Fullcredit Nocredit Fullcredit Nocredit No NA 1 0 1 2 2 1
Fullcredit Nocredit Fullcredit Fullcredit Fullcredit Fullcredit Nocredit Nocredit 01-Nocredit Nocredit Fullcredit Nocredit Fullcredit Nocredit 0-Nocredit 0-Nocredit Nocredit Nocredit Nocredit Fullcredit No NA 1 0 1 0 2 0
Fullcredit Nocredit Fullcredit Fullcredit Fullcredit Nocredit Fullcredit Nocredit 02-Nocredit Fullcredit Nocredit Fullcredit Fullcredit Fullcredit 0-Nocredit NA Nocredit Fullcredit Fullcredit Fullcredit No Yes 1 0 2 1 0 2
Fullcredit Fullcredit Fullcredit Fullcredit Fullcredit Nocredit Nocredit Nocredit 02-Nocredit Nocredit Nocredit Fullcredit Fullcredit Fullcredit 0-Nocredit 0-Nocredit Nocredit Fullcredit Fullcredit Fullcredit Yes Yes 1 0 1 2 0 0
Nocredit Nocredit Fullcredit Nocredit Nocredit Nocredit Nocredit Nocredit 02-Nocredit Nocredit Nocredit Nocredit Nocredit Fullcredit 0-Nocredit 0-Nocredit Nocredit Nocredit Fullcredit Fullcredit No NA 1 1 2 2 3 0
Fullcredit Fullcredit Fullcredit Fullcredit Nocredit Nocredit Nocredit Nocredit 01-Nocredit Nocredit Nocredit Fullcredit Fullcredit Fullcredit 0-Nocredit 0-Nocredit Nocredit Nocredit Nocredit Fullcredit No No 1 1 0 0 1 1
Fullcredit Nocredit Fullcredit Nocredit Nocredit Fullcredit Fullcredit Nocredit NA Fullcredit Nocredit Fullcredit Fullcredit Fullcredit 0-Nocredit 0-Nocredit Fullcredit Fullcredit Nocredit Fullcredit NA Yes 1 0 1 0 1 0
Nocredit Fullcredit Fullcredit Nocredit Fullcredit Fullcredit Nocredit Nocredit 01-Nocredit Nocredit Fullcredit Fullcredit Fullcredit Fullcredit 1-Fullcredit NA Fullcredit Fullcredit Fullcredit Nocredit No Yes 1 0 0 1 0 0
Nocredit Fullcredit Fullcredit Fullcredit Nocredit Nocredit Fullcredit Nocredit 01-Nocredit Nocredit Nocredit Fullcredit Fullcredit Fullcredit 0-Nocredit 0-Nocredit Nocredit Nocredit Fullcredit Fullcredit Yes NA 1 0 1 0 1 0
Fullcredit Fullcredit Fullcredit Nocredit Nocredit Fullcredit Nocredit Nocredit 12-Partialcredit Fullcredit Fullcredit Nocredit Fullcredit Fullcredit 0-Nocredit 0-Nocredit Nocredit Nocredit Nocredit Nocredit Yes Yes 1 0 1 0 0 2
